Participant;Part_Numb;Modality;IA;Creativity;UCP_N;N;TFD;Fix_count;First_pass;Regression;Reg_Count;ErrorPoints;Severity;ErrorCount;ErrorCounts
P03C;3;HT;2BR02B;Reproduction;1;1;4042;10;182;4042;0;0;Not;0;No
P03C;3;HT;Alles;Non-UCP;186;5;279;1;99;279;0;0;Not;0;No
P03C;3;HT;piekfijn;CS;2;2;277;1,5;220;277;0;0;Not;0;No
P03C;3;HT;Er;Non-UCP;187;12;426,8333333;1,833333333;204;415,1666667;0,166666667;1;Minor;1;Yes
P03C;3;HT;Alle;Non-UCP;188;4;324;1,75;196;324;0,25;0;Not;0;No
P03C;3;HT;Dat;Reproduction;3;5;251,6;1,2;192;251,6;0;0;Not;0;No
P03C;3;HT;De;Non-UCP;189;2;297;1,5;58;297;0;0;Not;0;No
P03C;3;HT;ongelukjes;Reproduction;4;2;683;3;275;683;0;1;Minor;1;Yes
P03C;3;HT;was;Non-UCP;190;4;247,5;1;181;247,5;0;0;Not;0;No
P03C;3;HT;vrijwilligers;Reproduction;5;1;678;3;142;678;0;0;Not;0;No
P03C;3;HT;Met;Non-UCP;191;4;969;4,75;225;400,5;1,75;0;Not;0;No
P03C;3;HT;was;CS;6;1;479,5;2,25;149;281;0,25;0;Not;0;No
P03C;3;HT;UC;Non-UCP;192;6;512;2,666666667;180;266,3333333;0,166666667;1;Minor;1;Yes
P03C;3;HT;Op;Non-UCP;193;9;230,4444444;1;199;230,4444444;0;0;Not;0;No
P03C;3;HT;Edward;Reproduction;8;3;504;1,666666667;277;350,6666667;0,333333333;0;Not;0;No
P03C;3;HT;jr;Non-UCP;194;3;227,3333333;1;227;227,3333333;0;0;Not;0;No
P03C;3;HT;Geboortehuis;CS;7;3;597,3333333;3;197;476,6666667;0,333333333;0;Not;0;No
P03C;3;HT;te;Reproduction;9;7;327,7142857;1,571428571;204;310,2857143;0,142857143;0;Not;0;No
P03C;3;HT;Hij;Non-UCP;195;2;180;1;79;79;1;0;Not;0;No
P03C;3;HT;de;CS;10;3;572,6666667;2,666666667;206;471,3333333;0,333333333;0;Not;0;No
P03C;3;HT;Zoveel;CS;11;10;278,6;1,2;157;229,2;0,3;0;Not;0;No
P03C;3;HT;Wehling;Non-UCP;196;3;527,3333333;1,333333333;434;527,3333333;0;0;Not;0;No
P03C;3;HT;een;Reproduction;12;2;177;1;177;177;0;0;Not;0;No
P03C;3;HT;nog;Non-UCP;197;11;363,6363636;1,636363636;140;309,0909091;0,090909091;0;Not;0;No
P03C;3;HT;Uit;Non-UCP;198;1;0;0;0;0;0;0;Not;0;No
P03C;3;HT;ršntgenfotos;Reproduction;13;1;1150;5;216;1150;0;0;Not;0;No
P03C;3;HT;was;Non-UCP;199;8;185,25;0,875;155;185,25;0;0;Not;0;No
P03C;3;HT;Het;Non-UCP;200;6;316;1,333333333;149;261,3333333;0,333333333;0;Not;0;No
P03C;3;HT;De;Non-UCP;201;4;305,5;1,25;246;283,5;0,25;0;Not;0;No
P03C;3;HT;voorovergebogen;Reproduction;14;10;226,4;0,9;169;226,4;0,1;1;Minor;1;Yes
P03C;3;HT;Hij;Non-UCP;202;3;298,6666667;1,333333333;121;191,3333333;0,333333333;0;Not;0;No
P03C;3;HT;zo;Reproduction;15;7;398;1,571428571;267;385,7142857;0,142857143;1;Minor;1;Yes
P03C;3;HT;dat;Reproduction;16;5;233,2;1;233;233,2;0;0;Not;0;No
P03C;3;HT;Zijn;Non-UCP;203;12;235,1666667;1,166666667;156;210,5;0,166666667;0;Not;0;No
P03C;3;HT;sfeer;CS;17;5;491,6;2,2;124;316;0;1;Minor;1;Yes
P03C;3;HT;hing;Non-UCP;204;1;692;2;168;168;0;0;Not;0;No
P03C;3;HT;Stoelen;Non-UCP;205;11;397,8181818;2;169;251,6363636;0,454545455;0;Not;0;No
P03C;3;HT;Overal;Non-UCP;206;4;530,5;2,5;141;344;0,25;0;Not;0;No
P03C;3;HT;afdeklakens;CS;18;3;1719,333333;7,333333333;154;1182,666667;0,666666667;0;Not;0;No
