Participant;Part_Numb;Modality;TFD;Fix_count;First_pass;Regression;Reg_Count;IA;Creativity;Errors;Errors.check;Error_Type;Severity;Errorcombination;ErrorPoint;ErrorCount;Freq
P03C;3;HT;4042;10;182;4042;0;2BR02B;Reproduction;Not;1;Not;Not;Not;0;0;0
P03C;3;HT;0;0;0;0;0;Alles;Non-UCP;Not;1;Not;Not;Kudos;0;0;5,86
P03C;3;HT;558;2;198;558;0;was;Non-UCP;Not;1;Not;Not;Kudos;0;0;6,61
P03C;3;HT;152;1;152;152;0;piekfijn;CS;Not;1;Not;Not;Kudos;0;0;2,63
P03C;3;HT;402;2;288;402;0;geregeld;CS;Not;1;Not;Not;Kudos;0;0;4,67
P03C;3;HT;0;0;0;0;0;Er;Non-UCP;Error;2;Accuracy;Minor;AccMin;1;1;6,78
P03C;3;HT;328;1;328;328;0;waren;Non-UCP;Error;2;Accuracy;Minor;AccMin;1;1;5,92
P03C;3;HT;238;1;238;238;0;geen;Non-UCP;Error;2;Accuracy;Minor;AccMin;1;1;6,42
P03C;3;HT;616;3;156;616;0;gevangenissen;Non-UCP;Error;2;Accuracy;Minor;AccMin;1;1;3,56
P03C;3;HT;658;3;382;518;1;sloppenwijken;Non-UCP;Error;2;Accuracy;Minor;AccMin;1;1;2,88
P03C;3;HT;1718;6;248;1718;0;krankzinnigengestichten;Non-UCP;Error;2;Accuracy;Minor;AccMin;1;1;0
P03C;3;HT;534;2;340;534;0;invaliden;Non-UCP;Error;2;Accuracy;Minor;AccMin;1;1;2,44
P03C;3;HT;154;1;154;154;0;geen;Non-UCP;Error;2;Accuracy;Minor;AccMin;1;1;6,42
P03C;3;HT;196;1;196;196;0;armoede;Non-UCP;Error;2;Accuracy;Minor;AccMin;1;1;4,39
P03C;3;HT;130;1;130;130;0;en;Non-UCP;Error;2;Accuracy;Minor;AccMin;1;1;7,4
P03C;3;HT;112;1;112;112;1;geen;Non-UCP;Error;2;Accuracy;Minor;AccMin;1;1;6,42
